Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
708288108,29,M,0,Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,1250,3
708300483,46,F,4,Doctorate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,1250,1
708330858,51,F,2,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,1250,3
708508758,34,F,4,Uneducated,Single,TX,91750,yes,no,no,cellular,Selfemployeed,1250,3
708856983,47,F,3,Doctorate,Unknown,TX,91750,no,yes,yes,unknown,Selfemployeed,1250,2
708874533,43,F,3,Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,1250,2
708892833,55,F,3,Graduate,Unknown,NY,91750,no,yes,no,cellular,Selfemployeed,1250,2
709164408,48,F,4,High School,Single,TX,91750,yes,yes,yes,cellular,Selfemployeed,1250,3
709537683,44,F,4,Unknown,Married,CA,91750,yes,no,no,cellular,Selfemployeed,1250,3
710899833,44,F,2,Graduate,Unknown,NY,91750,no,no,yes,unknown,Selfemployeed,1250,1
710940183,51,F,1,Graduate,Married,NY,91750,yes,no,no,unknown,Selfemployeed,1250,3
711013983,57,F,4,Doctorate,Married,MI,91750,yes,no,no,cellular,Selfemployeed,1250,2
711224733,38,F,4,Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,1250,2
711242058,49,F,2,Unknown,Single,CA,91750,no,no,no,cellular,Selfemployeed,1250,1
711562833,45,F,3,Unknown,Single,CA,91750,no,yes,no,cellular,Selfemployeed,1250,2
712030833,59,F,0,Uneducated,Single,NY,91750,no,yes,no,unknown,Selfemployeed,1250,2
712125258,48,F,3,Post-Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,1250,2
712373208,52,F,3,High School,Married,CA,91750,no,no,no,unknown,Selfemployeed,1250,1
712433508,50,F,3,Uneducated,Married,NY,91750,no,no,yes,unknown,Selfemployeed,1250,3
712979133,44,F,4,Graduate,Single,NY,91750,no,yes,yes,cellular,Selfemployeed,1250,3
713530833,38,F,1,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,1250,3
713741358,48,F,4,Graduate,Single,NV,91750,yes,yes,no,cellular,Selfemployeed,1250,2
714374133,45,F,2,Graduate,Single,NY,91750,no,no,no,unknown,Selfemployeed,1250,3
714871683,34,F,4,High School,Single,NY,91750,no,no,no,unknown,Selfemployeed,1250,1
716112933,50,F,3,Post-Graduate,Married,FL,91750,yes,yes,no,telephone,Selfemployeed,1250,1
717354558,54,F,1,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,1250,1
717640083,46,F,3,Uneducated,Single,CA,91750,yes,no,no,cellular,Selfemployeed,1250,2
717664008,53,F,1,Graduate,Married,TX,91750,yes,no,yes,telephone,Selfemployeed,1250,1
718121658,49,F,4,Uneducated,Married,TX,91750,no,yes,no,cellular,Selfemployeed,1250,2
718731183,47,F,2,High School,Married,TX,91750,yes,yes,no,cellular,Selfemployeed,1250,3
718939083,48,F,2,Graduate,Married,NY,91750,no,no,no,cellular,Selfemployeed,1250,4
